feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
studies human behaviour,-1,2,0,-3,1,3,1,2,2,2,2,0,0.9166666666666666,1.6764862244009227
supports the rehabilitation,1,2,0,-3,2,2,2,3,1,2,1,0,1.0833333333333333,1.5642792899510294
surveys,0,2,0,-3,1,-2,1,2,1,2,1,0,0.4166666666666667,1.5642792899510294
takes care of animals,-2,2,0,-3,2,2,1,3,3,2,1,0,0.9166666666666666,1.880924981991251
talks a lot,-2,1,0,-1,-1,2,-3,1,-1,2,0,0,-0.16666666666666666,1.5275252316519465
talks with people,0,1,0,0,1,-2,1,1,0,1,1,0,0.3333333333333333,0.8876253645985945
teaches something,1,2,0,1,2,2,1,3,2,2,1,1,1.5,0.7977240352174656
telephones,0,1,0,0,-2,-2,2,2,-1,1,1,0,0.16666666666666666,1.3371158468430429
there are many kinds of it,3,2,0,3,-3,-3,3,-1,1,2,1,3,0.9166666666666666,2.2343733444579583
there are television programs about it,0,0,0,-3,3,-2,-2,1,-1,-2,0,1,-0.4166666666666667,1.6764862244009227
there are too few of them,-3,0,1,-2,-1,-3,-3,2,-3,2,0,0,-0.8333333333333334,1.9462473604038073
there's a prime minister,0,2,2,-3,3,2,1,0,3,2,3,0,1.25,1.764549903980152
there's one in every village,-2,0,1,-1,1,0,1,2,-1,-2,1,0,0.0,1.2792042981336627
to be consulted when you're ill,1,2,1,-3,3,3,2,3,2,2,2,0,1.5,1.6787441193290353
touts his goods,0,2,1,-2,2,1,1,3,0,1,1,1,0.9166666666666666,1.2401124093721454
travels a lot,-3,1,0,0,-2,2,-2,1,0,1,1,0,-0.08333333333333333,1.5050420310248862
travels around,0,0,1,-2,0,-1,-2,3,-3,1,0,0,-0.25,1.6025547785276542
treats muscles,1,2,0,-3,3,1,2,3,1,2,2,0,1.1666666666666667,1.6422453217986943
treats patients,1,2,0,-1,1,2,2,2,2,2,2,0,1.25,1.0552897060221726
types,-1,2,0,-1,3,3,2,3,0,1,0,0,1.0,1.5374122295716148
under leadership of a film director,1,2,0,-3,3,2,1,3,2,2,2,0,1.25,1.6583123951777
used to wear a wig,-3,-1,0,-3,-2,-3,-3,2,-1,2,0,0,-1.0,1.8586407545691703
uses a computer,-2,1,0,1,1,-2,3,1,2,-2,0,0,0.25,1.6025547785276542
uses a fire hose,1,2,1,-3,3,3,2,3,3,2,1,0,1.5,1.7320508075688772
uses a ladder,-2,1,1,-3,1,2,-2,2,1,2,1,0,0.3333333333333333,1.7232808737106584
uses a little brush,-3,1,0,-3,0,-2,-3,1,-2,1,1,0,-0.75,1.712255291076124
uses all kinds of tools,1,1,0,2,1,1,1,1,1,2,1,0,1.0,0.6030226891555273
uses chalk,-1,0,0,-3,2,2,1,3,1,0,2,0,0.5833333333333334,1.6213537179739277
uses knifes,-2,0,0,-3,2,-2,-2,2,1,-1,1,0,-0.3333333333333333,1.669694219873444
uses pipes,-1,1,1,-3,1,1,1,2,0,2,1,0,0.5,1.381698559415515
uses pots and pans,0,1,0,-3,3,3,2,2,1,2,1,0,1.0,1.651445647689541
uses water,-3,1,0,-3,3,-3,-3,1,-1,0,1,0,-0.5833333333333334,2.0207259421636903
visits people at home,-2,1,1,-2,1,2,1,2,0,1,1,0,0.5,1.3142574813455419
vouches for safety,1,2,1,-3,1,0,1,2,2,2,2,0,0.9166666666666666,1.4433756729740643
walks behind a garbage truck,0,2,0,-3,3,3,1,3,1,2,1,0,1.0833333333333333,1.729862492345632
wears a baker's cap,1,1,0,-3,3,3,1,3,2,2,1,0,1.1666666666666667,1.6966991126265962
wears a black robe,-2,0,0,-3,1,-3,-3,3,0,-3,1,0,-0.75,2.0056737702645644
