feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
is practised with a ball with figures,-1,0,-3,-2,-2,1,2,1,1,1,1,0,-0.08333333333333333,1.5642792899510294
is practised with a ball with white and black squares,0,1,-3,-3,1,1,3,0,2,1,1,0,0.3333333333333333,1.775250729197189
is practised with a bat,2,1,-2,-2,1,1,2,0,-2,1,1,-2,0.08333333333333333,1.621353717973928
is practised with a bicycle,1,1,-2,-1,1,1,1,0,-1,2,0,1,0.3333333333333333,1.1547005383792517
is practised with a big ball,1,1,-1,-2,1,1,2,0,-1,1,1,0,0.3333333333333333,1.1547005383792517
is practised with a board,3,0,1,-1,1,1,3,0,2,1,1,1,1.0833333333333333,1.164500152881315
is practised with a boat,2,1,-3,-1,1,1,3,2,1,1,1,0,0.75,1.5447859516333116
is practised with a cue,2,1,-2,-2,1,0,2,0,1,1,1,0,0.4166666666666667,1.3113721705515065
is practised with a fishing rod,2,1,-2,-3,1,1,2,0,2,1,1,0,0.5,1.5666989036012806
is practised with a hard ball,0,-3,-3,-2,-3,1,1,-2,-2,1,1,-2,-1.0833333333333333,1.7298624923456323
is practised with a heavy ball,2,-3,-3,-1,1,0,-1,0,-1,1,1,0,-0.3333333333333333,1.5569978883230458
is practised with a high net,1,-3,-3,-3,1,1,2,0,1,1,1,0,-0.08333333333333333,1.8319554050414564
is practised with a leathern ball,0,1,-1,-1,0,1,2,0,1,1,1,1,0.5,0.9045340337332909
is practised with a light ball,1,1,0,-2,1,0,2,0,-1,2,1,1,0.5,1.1677484162422844
is practised with a little small ball,2,1,-2,-2,-1,1,1,0,0,1,2,0,0.25,1.3568010505999362
is practised with a little white ball,2,1,-2,-2,0,1,2,1,1,1,1,0,0.5,1.3142574813455419
is practised with a low net,1,0,-2,-3,-2,1,1,0,-2,1,1,0,-0.3333333333333333,1.497472618255253
is practised with a mosty white ball,0,1,-1,0,2,3,2,2,1,0,3,2,1.25,1.2880570286640687
is practised with a number of coloured balls,1,2,-2,0,3,1,3,0,-1,1,1,1,0.8333333333333334,1.4668044012461756
is practised with a oval ball,2,1,-3,-2,0,1,2,1,2,1,1,0,0.5,1.5666989036012806
is practised with a pallet,2,1,-3,-3,2,1,2,0,1,1,1,0,0.4166666666666667,1.729862492345632
is practised with a plume,3,1,-3,-2,1,1,3,2,1,1,1,0,0.75,1.764549903980152
is practised with a puck,2,1,-2,-2,3,2,1,0,2,1,2,0,0.8333333333333334,1.5859229221975182
is practised with a racket,1,0,-2,-1,3,1,3,0,2,1,2,1,0.9166666666666666,1.5050420310248862
is practised with a racket and a ball,2,1,1,-1,3,1,3,0,1,1,1,1,1.1666666666666667,1.1146408580454257
is practised with a round ball,1,1,0,-3,-1,1,2,0,2,0,1,1,0.4166666666666667,1.378954368902449
is practised with a rubber ball,1,0,-2,-3,1,1,2,0,-1,1,1,-1,0.0,1.4770978917519928
is practised with a sewed ball,-1,1,-1,-3,0,1,3,0,1,1,0,1,0.25,1.4847711791873706
is practised with a shot,3,1,0,-2,3,0,1,0,1,1,2,1,0.9166666666666666,1.3789543689024488
is practised with a small ball,1,1,-3,-2,1,1,2,0,-2,1,1,-2,-0.08333333333333333,1.6764862244009224
is practised with a stick,2,1,-3,-3,1,1,2,0,-1,1,1,0,0.16666666666666666,1.696699112626596
is practised with a sword,2,1,-2,-1,3,1,2,2,-2,1,1,0,0.6666666666666666,1.6143297699232972
