feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
is voedsel,2,3,1,3,3,3,2,0,3,3,2,3,2.3333333333333335,0.9847319278346619
is voedzaam,3,3,2,3,3,3,2,1,1,3,2,3,2.4166666666666665,0.7929614610987591
is vrij groot,2,-1,0,-2,1,1,-3,-3,-3,-3,0,-1,-1.0,1.8090680674665818
is wit,-2,-1,1,-1,0,1,-3,-3,-3,-3,0,0,-1.1666666666666667,1.5859229221975182
is wit of rood van kleur,-2,0,1,-2,0,-1,-3,-3,-3,-3,0,-1,-1.4166666666666667,1.4433756729740645
is wit vanbinnen,-2,-1,1,0,-1,1,-3,-3,-3,-3,0,-1,-1.25,1.5447859516333116
je kan het koken of rauw opeten,2,3,-2,2,3,3,0,1,2,3,3,3,1.9166666666666667,1.5642792899510294
je kan het zelf kweken,0,2,1,2,3,3,1,2,-3,3,2,2,1.5,1.6787441193290353
kan geraspt worden,1,1,-2,2,3,2,-3,1,-3,2,-1,2,0.4166666666666667,2.108783937953269
kan in diepvries bewaard worden,2,3,-2,2,3,3,2,-3,-2,3,3,2,1.3333333333333333,2.269694946796849
kan je 'afpellen',-1,1,1,1,1,-1,-3,2,-3,3,0,2,0.25,1.9128750375000738
kan je heel 't jaar eten,2,3,-1,1,3,1,1,1,-2,3,3,-2,1.0833333333333333,1.880924981991251
kan je koken,2,3,0,2,3,3,1,2,-2,3,2,3,1.8333333333333333,1.5275252316519465
kan je kopen in de winkel,2,3,-2,2,3,3,0,-3,-3,3,3,3,1.1666666666666667,2.4802248187442912
kan je kopen op de markt,2,3,-2,2,3,3,1,-1,-3,3,2,3,1.3333333333333333,2.1461734799546393
kan je puree van maken,1,-1,-1,2,1,2,-3,3,-3,1,-1,3,0.3333333333333333,2.103388319888276
kan je rauw eten,1,1,1,2,3,3,0,1,-2,3,3,2,1.5,1.5075567228888183
kan men bakken,1,2,-2,1,3,1,0,-2,-2,1,2,2,0.5833333333333334,1.729862492345632
kan men koud eten,1,2,0,2,3,3,0,2,0,3,2,3,1.75,1.2154310870109943
kan op verschillende wijzen bereid worden,2,3,0,2,3,3,0,-3,1,3,3,3,1.6666666666666667,1.8748737331221843
kan verschillende vormen aannemen,1,3,0,-1,2,2,2,-3,-2,3,3,2,1.0,2.04494943258218
kan warm gegeten worden,2,3,-1,2,3,3,-3,-3,1,3,2,3,1.25,2.3011854652449344
kan warm of koud gegeten worden,2,2,-2,3,3,3,1,1,2,3,2,2,1.8333333333333333,1.403458930534474
