feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
heeft een kruin van harde bladen,-3,3,-1,0,0,-1,-3,-1,1,-3,-2,-3,-1.0833333333333333,1.880924981991251
heeft een pit,2,3,0,2,2,1,3,1,1,-1,2,-3,1.0833333333333333,1.729862492345632
heeft een schil,2,3,2,3,3,0,3,1,3,2,2,-3,1.75,1.764549903980152
heeft een steeltje,1,2,2,2,3,-1,1,1,1,1,1,-3,0.9166666666666666,1.5642792899510296
heeft een stekelige schil,-3,3,0,-1,0,-1,-1,-1,1,-3,-1,-3,-0.8333333333333334,1.7494587907710375
heeft groene bladeren,-2,0,0,-1,0,-1,-3,-1,0,-3,-1,-3,-1.25,1.2154310870109943
heeft roze kleur,-2,-3,0,-1,0,-1,1,-1,2,-3,1,-3,-0.8333333333333334,1.696699112626596
heeft stekels,-3,3,0,-1,-2,-1,-3,-1,2,-3,-1,-3,-1.0833333333333333,1.9752253419585195
heeft vaak gele schil,-1,0,2,1,-2,-1,1,-1,1,-3,0,-3,-0.5,1.6236882817719773
heeft veel zon nodig om te groeien,1,1,2,2,3,0,2,1,1,1,2,-3,1.0833333333333333,1.5050420310248864
heeft vruchtvlees,2,3,3,2,3,2,2,1,1,-3,3,2,1.75,1.6583123951777
heeft zachte schil,1,3,0,-1,0,-1,-1,0,0,-3,1,-3,-0.3333333333333333,1.6696942198734437
het heeft geen uitgesproken geur,0,3,2,0,1,-1,-2,2,-1,-3,1,-3,-0.08333333333333333,1.97522534195852
het is plat,-2,1,0,-1,1,-1,0,-1,1,-3,-1,-3,-0.75,1.4222261679238197
het is voedsel,3,3,3,2,3,1,3,2,-3,3,3,3,2.1666666666666665,1.7494587907710373
het vlees van de vrucht is tamelijk hard,-2,3,1,1,1,0,0,-1,2,-3,0,-3,-0.08333333333333333,1.8809249819912508
het wordt niet veel gegeten in België,-3,0,-2,1,-3,-1,0,-1,-2,-3,2,-3,-1.25,1.712255291076124
in gedroogde vorm: rozijnen en krenten,-2,0,3,0,1,1,-1,2,3,-3,2,-3,0.25,2.137330535547045
in schijfjes,-2,1,0,2,2,-1,1,1,-3,-3,2,-3,-0.25,2.050498830661811
in uitdrukkingen: zo plat als een,-1,-2,2,1,0,-2,-2,-1,3,0,0,-3,-0.4166666666666667,1.7816403745544227
is bitter,-1,3,0,-1,1,0,1,-1,2,-3,1,-3,-0.08333333333333333,1.831955405041456
is blauw,-3,-3,-2,-2,0,-1,-3,-1,2,-3,-3,-3,-1.8333333333333333,1.5859229221975182
is bruin,-3,-3,-3,-2,0,-1,-1,-1,2,-3,-1,-3,-1.5833333333333333,1.5642792899510294
is duur,1,-1,1,-1,-2,-1,3,0,0,-3,0,-3,-0.5,1.7320508075688772
is een bes,0,1,3,1,3,2,1,-1,2,-3,1,1,0.9166666666666666,1.6764862244009227
is een citrusvrucht,1,3,1,2,2,2,0,0,3,-3,2,0,1.0833333333333333,1.6764862244009227
is een noot,-2,3,-3,1,1,0,-1,-1,2,-3,-2,-3,-0.6666666666666666,2.059714602177749
is een steenvrucht,-2,3,2,1,1,3,-1,-1,2,-3,1,-3,0.25,2.179449471770337
is een vrucht,2,3,2,2,3,2,3,-2,2,3,2,3,2.0833333333333335,1.378954368902449
is groen als het nog niet rijp is,0,3,0,2,3,0,3,-1,1,-2,1,-3,0.5833333333333334,1.9752253419585197
is groen vanbinnen,-3,3,0,-2,-3,0,-2,-1,2,-3,-1,-3,-1.0833333333333333,2.0207259421636903
is groot,0,3,0,-1,0,-1,-2,-1,1,-3,0,-3,-0.5833333333333334,1.6764862244009227
is klein,0,1,0,-1,1,-1,-1,-1,1,-3,0,-3,-0.5833333333333334,1.378954368902449
is krom,-1,3,0,2,0,-1,0,-1,3,-3,1,-3,0.0,2.0
is langwerpig,-1,2,0,1,0,-1,-1,-1,1,-3,-1,-3,-0.5833333333333334,1.5050420310248864
is mals,1,3,0,1,3,0,1,-1,1,-3,1,-3,0.3333333333333333,1.9227505550564006
is moeilijk open te maken,-2,3,0,0,-3,-1,-3,1,1,-3,-1,-3,-0.9166666666666666,1.97522534195852
is mooi,2,1,1,-2,2,-2,1,1,1,-3,2,-3,0.08333333333333333,1.97522534195852
is ook een snoepje,-1,0,0,-2,2,-1,-3,1,2,-3,-1,-3,-0.75,1.815338686155987
is oranje vanbinnen,-1,2,0,-1,0,0,-1,-1,2,-3,1,-3,-0.4166666666666667,1.6213537179739277
is ovaal,0,3,0,1,1,-1,-1,-1,2,-3,1,-3,-0.08333333333333333,1.8319554050414562
is peervormig,-1,3,0,-1,0,-1,-1,-1,2,-3,1,-3,-0.4166666666666667,1.781640374554423
is rijp in de herfst,-1,2,2,1,-2,1,-1,0,1,0,-1,-3,-0.08333333333333333,1.5642792899510294
is rond,1,3,0,-1,1,-1,0,-1,1,-3,2,-3,-0.08333333333333333,1.8319554050414562
is sappig,3,3,2,2,3,1,3,2,2,2,2,-3,1.8333333333333333,1.6422453217986943
is seizoensafhankelijk,2,3,3,1,3,2,3,1,0,3,2,2,2.0833333333333335,0.9962049198956219
is te koop op de markt,1,3,3,1,1,-1,3,2,-2,0,2,-3,0.8333333333333334,1.9924098397912438
is verfrissend,2,2,3,2,3,1,3,1,0,2,3,-3,1.5833333333333333,1.729862492345632
is vers het best,3,3,3,2,3,1,3,2,0,1,3,2,2.1666666666666665,1.0298573010888745
is vezelig,-3,3,2,1,2,1,3,2,0,-3,2,-3,0.5833333333333334,2.3143164446679725
is voedzaam,3,3,2,2,3,2,3,2,-1,3,3,3,2.3333333333333335,1.1547005383792517
is wit,-3,-3,-1,-2,0,-1,-3,-1,2,-3,1,-3,-1.4166666666666667,1.729862492345632
is zacht,1,3,1,-2,1,-1,1,1,0,-3,1,-3,0.0,1.8586407545691703
is zuur,2,-1,0,-1,1,1,0,1,2,-3,1,-3,0.0,1.7056057308448835
is zwaar,-2,3,0,-2,1,-1,-2,-1,1,-3,-3,-3,-1.0,1.9069251784911847
is zwart,-3,-3,0,-2,0,-1,-3,-1,2,-3,-2,-3,-1.5833333333333333,1.6213537179739277
je kan deze leeghalen en er een kaars in steken,-2,-3,-3,1,0,-2,1,-1,3,-3,-2,-3,-1.1666666666666667,1.992409839791244
je kan er sap van maken,3,2,2,2,3,0,3,2,1,-1,3,-3,1.4166666666666667,1.8809249819912512
je kan er soep van maken,-2,-2,-2,-3,0,-1,-3,-2,0,-3,-2,-3,-1.9166666666666667,1.0836246694508316
je kan er thee van maken,0,-1,1,1,0,-1,0,2,1,-3,0,-3,-0.25,1.5447859516333116
kan gedroogd worden,-1,2,1,1,0,-1,-2,2,1,-1,1,-3,0.0,1.5954480704349312
kan geperst worden tot sap,2,0,3,2,3,0,3,1,-1,-1,2,-3,0.9166666666666666,1.9286515936521478
kan giftig zijn,-3,3,0,-2,2,-2,-2,0,2,1,0,-3,-0.3333333333333333,2.059714602177749
kan je eten met lepeltje,-1,3,-2,-1,0,-2,-2,0,0,-3,-1,-3,-1.0,1.651445647689541
kan je milkshake van maken,-1,0,2,2,1,-1,1,1,0,0,2,-3,0.3333333333333333,1.497472618255253
kan uitgehold worden,-2,-3,0,-1,2,-1,1,1,0,-3,1,-3,-0.6666666666666666,1.775250729197189
kan warm of koud gegeten worden,-1,2,0,-1,3,-1,0,1,1,-1,2,-3,0.16666666666666666,1.696699112626596
klein en rond,0,3,-2,0,2,-1,1,-1,2,-3,1,-3,-0.08333333333333333,1.97522534195852
kleurrijk,3,1,0,-1,2,-1,2,2,0,0,2,-3,0.5833333333333334,1.7298624923456323
komen uit zuid-amerika,1,1,1,0,-1,-1,-1,1,2,-3,1,-3,-0.16666666666666666,1.6422453217986943
komt uit Spanje,1,1,0,0,-3,-1,-3,1,1,-3,1,-3,-0.6666666666666666,1.8257418583505538
komt uit china,-2,3,0,-1,0,-1,-3,1,0,-3,-1,-3,-0.8333333333333334,1.80067327475704
komt uit nieuw-zeeland,0,-3,0,2,0,-1,-3,0,2,-3,1,0,-0.4166666666666667,1.781640374554423
koop je in de winkel,2,0,-1,0,0,-1,2,1,-2,1,2,-3,0.08333333333333333,1.621353717973928
korrelig op tong,-3,3,0,-1,0,-1,-3,-1,1,-3,-1,-3,-1.0,1.8586407545691703
krijg je van sinterklaas,0,0,1,1,0,-1,-1,1,2,-3,1,-3,-0.16666666666666666,1.5859229221975182
kunnen we heel het jaar door eten,1,2,1,1,3,0,0,2,1,1,3,-3,1.0,1.5954480704349312
kwetsbaar,1,3,1,-3,0,0,-3,-1,1,2,2,-3,0.0,2.088931871468374
lekker,3,3,2,2,3,1,3,2,-3,2,2,-3,1.4166666666666667,2.151461800448216
lekker bij ijs,1,0,0,2,0,-1,3,2,0,2,2,-3,0.6666666666666666,1.6696942198734437
lekker in coca cola,-3,0,-2,2,-3,-1,-3,-2,-3,-3,1,-3,-1.6666666666666667,1.775250729197189
lekker in yoghurt,-1,0,2,-1,-1,0,2,2,-3,0,2,-3,-0.08333333333333333,1.8319554050414562
lekker met suiker,-3,0,-2,1,0,0,1,2,0,-3,2,-3,-0.4166666666666667,1.880924981991251
lijkt op citroen,0,1,0,-1,-2,-1,-2,1,1,-3,1,0,-0.4166666666666667,1.378954368902449
